Date,month,Year,Passengers
Jan-49,0.00,1949.00,112
Feb-49,1.00,1949.08,118
Mar-49,2.00,1949.17,132
Apr-49,3.00,1949.25,129
May-49,4.00,1949.33,121
Jun-49,5.00,1949.42,135
Jul-49,6.00,1949.50,148
Aug-49,7.00,1949.58,148
Sep-49,8.00,1949.67,136
Oct-49,9.00,1949.75,119
Nov-49,10.00,1949.83,104
Dec-49,11.00,1949.92,118
Jan-50,12.00,1950.00,115
Feb-50,13.00,1950.08,126
Mar-50,14.00,1950.17,141
Apr-50,15.00,1950.25,135
May-50,16.00,1950.33,125
Jun-50,17.00,1950.42,149
Jul-50,18.00,1950.50,170
Aug-50,19.00,1950.58,170
Sep-50,20.00,1950.67,158
Oct-50,21.00,1950.75,133
Nov-50,22.00,1950.83,114
Dec-50,23.00,1950.92,140
Jan-51,24.00,1951.00,145
Feb-51,25.00,1951.08,150
Mar-51,26.00,1951.17,178
Apr-51,27.00,1951.25,163
May-51,28.00,1951.33,172
Jun-51,29.00,1951.42,178
Jul-51,30.00,1951.50,199
Aug-51,31.00,1951.58,199
Sep-51,32.00,1951.67,184
Oct-51,33.00,1951.75,162
Nov-51,34.00,1951.83,146
Dec-51,35.00,1951.92,166
Jan-52,36.00,1952.00,171
Feb-52,37.00,1952.08,180
Mar-52,38.00,1952.17,193
Apr-52,39.00,1952.25,181
May-52,40.00,1952.33,183
Jun-52,41.00,1952.42,218
Jul-52,42.00,1952.50,230
Aug-52,43.00,1952.58,242
Sep-52,44.00,1952.67,209
Oct-52,45.00,1952.75,191
Nov-52,46.00,1952.83,172
Dec-52,47.00,1952.92,194
Jan-53,48.00,1953.00,196
Feb-53,49.00,1953.08,196
Mar-53,50.00,1953.17,236
Apr-53,51.00,1953.25,235
May-53,52.00,1953.33,229
Jun-53,53.00,1953.42,243
Jul-53,54.00,1953.50,264
Aug-53,55.00,1953.58,272
Sep-53,56.00,1953.67,237
Oct-53,57.00,1953.75,211
Nov-53,58.00,1953.83,180
Dec-53,59.00,1953.92,201
Jan-54,60.00,1954.00,204
Feb-54,61.00,1954.08,188
Mar-54,62.00,1954.17,235
Apr-54,63.00,1954.25,227
May-54,64.00,1954.33,234
Jun-54,65.00,1954.42,264
Jul-54,66.00,1954.50,302
Aug-54,67.00,1954.58,293
Sep-54,68.00,1954.67,259
Oct-54,69.00,1954.75,229
Nov-54,70.00,1954.83,203
Dec-54,71.00,1954.92,229
Jan-55,72.00,1955.00,242
Feb-55,73.00,1955.08,233
Mar-55,74.00,1955.17,267
Apr-55,75.00,1955.25,269
May-55,76.00,1955.33,270
Jun-55,77.00,1955.42,315
Jul-55,78.00,1955.50,364
Aug-55,79.00,1955.58,347
Sep-55,80.00,1955.67,312
Oct-55,81.00,1955.75,274
Nov-55,82.00,1955.83,237
Dec-55,83.00,1955.92,278
Jan-56,84.00,1956.00,284
Feb-56,85.00,1956.08,277
Mar-56,86.00,1956.17,317
Apr-56,87.00,1956.25,313
May-56,88.00,1956.33,318
Jun-56,89.00,1956.42,374
Jul-56,90.00,1956.50,413
Aug-56,91.00,1956.58,405
Sep-56,92.00,1956.67,355
Oct-56,93.00,1956.75,306
Nov-56,94.00,1956.83,271
Dec-56,95.00,1956.92,306
Jan-57,96.00,1957.00,315
Feb-57,97.00,1957.08,301
Mar-57,98.00,1957.17,356
Apr-57,99.00,1957.25,348
May-57,100.00,1957.33,355
Jun-57,101.00,1957.42,422
Jul-57,102.00,1957.50,465
Aug-57,103.00,1957.58,467
Sep-57,104.00,1957.67,404
Oct-57,105.00,1957.75,347
Nov-57,106.00,1957.83,305
Dec-57,107.00,1957.92,336
Jan-58,108.00,1958.00,340
Feb-58,109.00,1958.08,318
Mar-58,110.00,1958.17,362
Apr-58,111.00,1958.25,348
May-58,112.00,1958.33,363
Jun-58,113.00,1958.42,435
Jul-58,114.00,1958.50,491
Aug-58,115.00,1958.58,505
Sep-58,116.00,1958.67,404
Oct-58,117.00,1958.75,359
Nov-58,118.00,1958.83,310
Dec-58,119.00,1958.92,337
Jan-59,120.00,1959.00,360
Feb-59,121.00,1959.08,342
Mar-59,122.00,1959.17,406
Apr-59,123.00,1959.25,396
May-59,124.00,1959.33,420
Jun-59,125.00,1959.42,472
Jul-59,126.00,1959.50,548
Aug-59,127.00,1959.58,559
Sep-59,128.00,1959.67,463
Oct-59,129.00,1959.75,407
Nov-59,130.00,1959.83,362
Dec-59,131.00,1959.92,405
Jan-60,132.00,1960.00,417
Feb-60,133.00,1960.08,391
Mar-60,134.00,1960.17,419
Apr-60,135.00,1960.25,461
May-60,136.00,1960.33,472
Jun-60,137.00,1960.42,535
Jul-60,138.00,1960.50,622
Aug-60,139.00,1960.58,606
Sep-60,140.00,1960.67,508
Oct-60,141.00,1960.75,461
Nov-60,142.00,1960.83,390
Dec-60,143.00,1960.92,432
