Run,Method,Time_seconds,Best_LML,Best_Iteration
1,RBF-BO,129.87438893318176,-1.5001721606264788,0
1,HyperKappa-BO,67.30289626121521,-1.5001721606264788,0
1,Random Search,59.57180857658386,-1.5001721606264788,0
1,LLM-GA_unrestricted_p0.05,374.67721700668335,-1.5001721606264788,0
1,LLM-GA_unrestricted_p0.1,231.6568374633789,-1.5001721606264788,0
1,LLM-GA_unrestricted_p0.3,253.89794063568115,-1.5001721606264788,0
1,LLM-GA_unrestricted_p0.5,283.6090159416199,-1.5001721606264788,0
1,LLM-GA_unrestricted_p0.7,350.73081254959106,-1.5001721606264788,0
1,LLM-GA_unrestricted_p0.9,387.3592596054077,-1.5001721606264788,0
1,LLM-GA_depth3_p0.05,188.69822144508362,-1.5001721606264788,0
1,LLM-GA_depth3_p0.1,157.75434350967407,-1.5001721606264788,0
1,LLM-GA_depth3_p0.3,181.77910542488098,-1.5001721606264788,0
1,LLM-GA_depth3_p0.5,212.75116443634033,-1.5001721606264788,0
1,LLM-GA_depth3_p0.7,241.40434432029724,-1.5001721606264788,0
1,LLM-GA_depth3_p0.9,272.0191984176636,-1.5001721606264788,0
2,RBF-BO,72.05497217178345,-1.5001721606264788,17
2,HyperKappa-BO,46.229633808135986,-1.5001721606264788,15
2,Random Search,37.56569743156433,-1.5001721606265028,18
2,LLM-GA_unrestricted_p0.05,160.3262734413147,-968.5228951060897,0
2,LLM-GA_unrestricted_p0.1,184.0077178478241,-627.5125344688385,16
2,LLM-GA_unrestricted_p0.3,210.04190969467163,-627.5125344688385,21
2,LLM-GA_unrestricted_p0.5,220.53365015983582,-627.5125344688385,13
2,LLM-GA_unrestricted_p0.7,225.54718446731567,-627.5125344688385,37
2,LLM-GA_unrestricted_p0.9,244.96257638931274,-627.5125344688385,26
2,LLM-GA_depth3_p0.05,134.1052107810974,-804.5620362821934,24
2,LLM-GA_depth3_p0.1,137.3579545021057,-1.5002296725319524,8
2,LLM-GA_depth3_p0.3,149.87314462661743,-804.5620362821934,8
2,LLM-GA_depth3_p0.5,171.00855827331543,-804.5620362821934,21
2,LLM-GA_depth3_p0.7,194.3618335723877,-1.5002296725319524,6
2,LLM-GA_depth3_p0.9,218.9585404396057,-804.5620362821934,2
3,RBF-BO,108.66795086860657,-1.5001721606264788,3
3,HyperKappa-BO,44.053303241729736,-1.5001721606264788,30
3,Random Search,42.16358923912048,-1.500233796313681,4
3,LLM-GA_unrestricted_p0.05,138.73046588897705,-1078.805834855361,0
3,LLM-GA_unrestricted_p0.1,157.49358081817627,-1078.805834855361,0
3,LLM-GA_unrestricted_p0.3,168.45095086097717,-1078.805834855361,0
3,LLM-GA_unrestricted_p0.5,245.9171485900879,-1078.805834855361,0
3,LLM-GA_unrestricted_p0.7,284.52381801605225,-804.5620362821934,27
3,LLM-GA_unrestricted_p0.9,328.917662858963,-1078.805834855361,0
3,LLM-GA_depth3_p0.05,144.96187543869019,-1010.1389271546589,2
3,LLM-GA_depth3_p0.1,140.55638313293457,-1010.1389271546589,13
3,LLM-GA_depth3_p0.3,164.93850898742676,-1010.1389271546589,17
3,LLM-GA_depth3_p0.5,181.65603375434875,-1010.1389271546589,2
3,LLM-GA_depth3_p0.7,226.84575510025024,-1010.1389271546589,2
3,LLM-GA_depth3_p0.9,243.7052824497223,-1010.1389271546589,15
4,RBF-BO,157.15996289253235,-1.5001721606264788,15
4,HyperKappa-BO,65.29824662208557,-1.5001721606264788,30
4,Random Search,63.11038112640381,-1.500233113921765,35
4,LLM-GA_unrestricted_p0.05,160.4141640663147,-2137.7164140649875,3
4,LLM-GA_unrestricted_p0.1,196.83446621894836,-2137.7164140649875,7
4,LLM-GA_unrestricted_p0.3,320.39184617996216,-1868.026550913508,15
4,LLM-GA_unrestricted_p0.5,259.1959660053253,-2137.7164140649875,3
4,LLM-GA_unrestricted_p0.7,289.1040155887604,-1010.1389271546589,48
4,LLM-GA_unrestricted_p0.9,294.05898690223694,-1010.1389271546589,38
4,LLM-GA_depth3_p0.05,165.62745428085327,-1010.1389271546589,21
4,LLM-GA_depth3_p0.1,173.25896859169006,-1010.1389271546589,7
4,LLM-GA_depth3_p0.3,183.26895403862,-1010.1389271546589,13
4,LLM-GA_depth3_p0.5,195.2029116153717,-1010.1389271546589,4
4,LLM-GA_depth3_p0.7,216.32589435577393,-1010.1389271546589,6
4,LLM-GA_depth3_p0.9,230.7034192085266,-1010.1389271546589,4
5,RBF-BO,166.36518025398254,-1.5001721606264788,25
5,HyperKappa-BO,68.95611715316772,-1.5001721606264788,14
5,Random Search,65.99109268188477,-1.500233113921765,13
5,LLM-GA_unrestricted_p0.05,198.55850386619568,-805.948855167217,0
5,LLM-GA_unrestricted_p0.1,192.22211480140686,-805.948855167217,0
5,LLM-GA_unrestricted_p0.3,245.30063128471375,-625.9695633710406,46
5,LLM-GA_unrestricted_p0.5,259.4463577270508,-804.5620362821934,17
5,LLM-GA_unrestricted_p0.7,289.63450288772583,-804.5620362821934,3
5,LLM-GA_unrestricted_p0.9,295.1861684322357,-804.5620362821934,38
5,LLM-GA_depth3_p0.05,144.6753625869751,-804.5620362821934,23
5,LLM-GA_depth3_p0.1,156.95827984809875,-804.5620362821934,3
5,LLM-GA_depth3_p0.3,170.62525272369385,-804.5620362821934,16
5,LLM-GA_depth3_p0.5,221.34356212615967,-804.5620362821934,11
5,LLM-GA_depth3_p0.7,237.14044332504272,-804.5620362821934,3
5,LLM-GA_depth3_p0.9,252.78684973716736,-804.5620362821934,2
