Method,Avg_Time_sec,Std_Time_sec,Avg_Best_LML,Std_Best_LML,Avg_Best_Iter,Std_Best_Iter
RBF-BO,75.64967489242554,9.08225289885719,-1.5002099522799428,0.0,13.4,8.089499366462674
HyperKappa-BO,45.55131449699402,3.1793050889015584,-1.5002099522799428,0.0,7.0,3.7416573867739413
Random Search,33.98105654716492,2.9970457365291545,-71.00417767497501,139.00791461393337,20.4,10.9288608738514
LLM-GA Unrestricted (p=0.05),163.29405827522277,20.525185709340345,-3957.3677313312305,1977.9337504041152,11.6,14.207040508142432
LLM-GA Unrestricted (p=0.1),164.8056987285614,5.890754368912707,-3957.354526860511,1977.927148109729,7.2,6.177378084592201
LLM-GA Unrestricted (p=0.3),199.90509696006774,14.60158439720427,-3957.3626374747814,1977.9312034239877,3.8,3.249615361854384
LLM-GA Unrestricted (p=0.5),230.2805690765381,12.931655479464828,-3957.36229401521,1977.9310316913711,10.0,9.316651759081692
LLM-GA Unrestricted (p=0.7),255.9018943309784,24.311006611067267,-3957.3571310781276,1977.9284502027479,13.8,19.04100837665905
LLM-GA Unrestricted (p=0.9),288.9127466201782,23.917193943905357,-3957.3622940083856,1977.931031687959,13.6,12.208193969625484
LLM-GA Depth≤3 (p=0.05),140.75383214950563,9.379913983580723,-1979.4387436071513,2422.470066439184,18.6,11.80847153530041
LLM-GA Depth≤3 (p=0.1),147.19889330863953,8.060154697645524,-2968.4071984336906,2422.4694034430786,5.2,3.6551333764994136
LLM-GA Depth≤3 (p=0.3),180.89230980873108,16.707011568169587,-3957.362637481606,1977.9312034273999,10.2,9.21737489744233
LLM-GA Depth≤3 (p=0.5),203.35503482818604,16.997358793468457,-3957.36229401521,1977.9310316913711,10.2,10.322790320451153
LLM-GA Depth≤3 (p=0.7),226.23186812400817,29.509960300438642,-1979.4246479614462,2422.452802964068,13.0,12.86856635371633
LLM-GA Depth≤3 (p=0.9),249.9669141292572,10.584401221705997,-3957.3626374884307,1977.9312034308123,1.4,1.4966629547095764
